emp_no,dept_no,from_date,to_date
10066,d005,1986-02-26,9999-01-01
10067,d006,1987-03-04,9999-01-01
10068,d007,1987-08-07,9999-01-01
10069,d004,1992-06-14,9999-01-01
10070,d005,1985-10-14,1995-10-18
10070,d008,1995-10-18,9999-01-01
10071,d003,1995-08-05,9999-01-01
10072,d005,1989-05-21,9999-01-01
10073,d006,1998-02-02,1998-02-22
10074,d005,1990-08-13,9999-01-01
10075,d005,1988-05-17,2001-01-15
10076,d005,1996-07-15,9999-01-01
10077,d003,1994-12-23,9999-01-01
10078,d005,1994-09-29,9999-01-01
10079,d005,1995-12-13,9999-01-01
10080,d002,1994-09-28,1997-07-09
10080,d003,1997-07-09,9999-01-01
10081,d004,1986-10-30,9999-01-01
10082,d008,1990-01-03,1990-01-15
10083,d004,1987-03-31,9999-01-01
10084,d004,1995-12-15,9999-01-01
10085,d004,1994-04-09,9999-01-01
10086,d003,1992-02-19,9999-01-01
10087,d007,1997-05-08,2001-01-09
10088,d007,1988-09-02,1992-03-21
10088,d009,1992-03-21,9999-01-01
10089,d007,1989-01-10,9999-01-01
10090,d005,1986-03-14,1999-05-07
10091,d005,1992-11-18,9999-01-01
10092,d005,1996-04-22,9999-01-01
10093,d007,1997-06-08,9999-01-01
10094,d008,1987-04-18,1997-11-08
10095,d007,1994-03-10,9999-01-01
10096,d004,1999-01-23,9999-01-01
10097,d008,1990-09-15,9999-01-01
10098,d004,1985-05-13,1989-06-29
10098,d009,1989-06-29,1992-12-11
10099,d007,1988-10-18,9999-01-01
10100,d003,1987-09-21,9999-01-01
10101,d007,1998-10-14,2000-09-23
10102,d004,1995-01-02,9999-01-01
10103,d005,1998-01-12,9999-01-01
10104,d008,1987-04-16,9999-01-01
10105,d003,1999-05-17,2001-06-11
10106,d004,1991-10-27,9999-01-01
10107,d007,1999-03-30,9999-01-01
10108,d001,1999-12-06,2001-10-20
10108,d003,1999-03-20,1999-12-06
10109,d004,1993-06-16,9999-01-01
10110,d003,1986-08-22,9999-01-01
10111,d006,1988-12-19,9999-01-01
10112,d009,1998-05-01,9999-01-01
10113,d004,1998-09-14,9999-01-01
10114,d008,1992-07-17,9999-01-01
10115,d009,1988-03-03,1992-05-24
10116,d005,1994-02-27,1995-12-03
10116,d008,1995-12-03,1998-11-01
10117,d004,1992-03-19,9999-01-01
10118,d005,1992-02-02,9999-01-01
10119,d004,1993-12-09,1997-10-30
10120,d004,1996-07-06,9999-01-01
10121,d005,1989-05-03,9999-01-01
10122,d005,1998-08-06,9999-01-01
10123,d004,1993-01-15,9999-01-01
10124,d004,1991-09-05,1999-06-06
10124,d006,1999-06-06,9999-01-01
10125,d007,1990-10-26,1996-03-25
10126,d009,1985-09-08,9999-01-01
10127,d005,1991-05-17,9999-01-01
10128,d009,1988-06-06,9999-01-01
10129,d005,1996-01-16,9999-01-01
10130,d004,1988-06-21,9999-01-01
10131,d004,1999-09-17,1999-12-06
10132,d002,1997-06-18,9999-01-01
10133,d004,1985-12-15,9999-01-01
10134,d004,1993-12-02,9999-01-01
10134,d005,1987-12-12,1993-12-02
10135,d004,1990-01-04,9999-01-01
10136,d007,1988-06-13,1999-09-20
10137,d009,1985-02-18,9999-01-01
10138,d006,1992-03-03,9999-01-01
10139,d005,1998-03-15,9999-01-01
10140,d001,1991-03-14,9999-01-01
10141,d008,1998-07-23,9999-01-01
10142,d005,1993-10-28,9999-01-01
10143,d005,1988-09-30,9999-01-01
10144,d002,1985-10-14,1988-09-02
10144,d003,1988-09-02,1993-08-10
10145,d005,1999-11-03,9999-01-01
10146,d002,1988-06-28,1990-09-07
10147,d002,1987-12-18,9999-01-01
10148,d007,1996-07-15,9999-01-01
10149,d007,1994-01-28,1996-08-27
10150,d005,1986-11-16,9999-01-01
10151,d007,1992-12-12,9999-01-01
10152,d006,1986-01-27,1987-08-03
10153,d005,2000-01-08,9999-01-01
10154,d009,1996-10-23,9999-01-01
10155,d004,1990-07-12,9999-01-01
10155,d008,1990-01-05,1990-07-12
10156,d006,1993-05-14,9999-01-01
10157,d005,1997-12-10,9999-01-01
10158,d004,1987-06-04,9999-01-01
10159,d006,1996-06-12,9999-01-01
10160,d007,1993-12-06,9999-01-01
10161,d004,1991-06-09,1994-01-05
10162,d004,1998-05-27,9999-01-01
10163,d003,1992-02-02,9999-01-01
10164,d004,1990-10-19,2000-05-31
10164,d009,2000-05-31,9999-01-01
10165,d002,1988-05-17,9999-01-01
10166,d005,1996-09-02,9999-01-01
10167,d004,1992-04-04,9999-01-01
10168,d008,1986-12-06,9999-01-01
10169,d005,1998-06-28,9999-01-01
10170,d004,1986-01-02,1989-02-06
10171,d004,1996-08-05,9999-01-01
10172,d005,1998-02-04,1998-10-01
10172,d008,1998-10-01,9999-01-01
10173,d002,1992-03-21,9999-01-01
10174,d004,1987-06-01,9999-01-01
10175,d001,1988-09-24,1995-05-24
10176,d009,1994-12-22,9999-01-01
10177,d002,1993-02-06,1994-03-17
10178,d007,1994-03-21,9999-01-01
10179,d005,2000-01-25,9999-01-01
10180,d002,1994-07-01,9999-01-01
10181,d005,1988-06-22,9999-01-01
10182,d005,1990-09-02,1999-01-05
10182,d008,1999-01-05,9999-01-01
10183,d009,1996-08-11,9999-01-01
10184,d009,1997-12-26,9999-01-01
10185,d007,1986-03-01,9999-01-01
10186,d002,1996-12-25,1997-08-16
10187,d002,1991-06-01,9999-01-01
10188,d004,1987-08-27,9999-01-01
10189,d005,1992-09-13,1993-06-29
10190,d004,1986-06-23,9999-01-01
10191,d005,1986-04-10,9999-01-01
10192,d004,1999-08-09,9999-01-01
10192,d006,1988-06-13,1999-08-09
10193,d005,1996-09-21,9999-01-01
10194,d002,1997-02-14,9999-01-01
10195,d004,1985-02-15,2001-04-14
10196,d002,1999-01-31,9999-01-01
10197,d005,1994-06-28,9999-01-01
10198,d005,1985-08-31,9999-01-01
10199,d007,1998-02-07,9999-01-01
10200,d004,1994-02-17,2000-10-03
10200,d006,2000-10-03,9999-01-01
10201,d005,1992-11-10,9999-01-01
10202,d005,1991-10-06,9999-01-01
10203,d008,1989-04-06,9999-01-01
10204,d005,1998-12-18,1999-03-08
10205,d004,1993-08-23,9999-01-01
10206,d005,1988-04-19,9999-01-01
10207,d005,1992-10-11,9999-01-01
10208,d001,1995-02-05,1999-05-15
10209,d002,1991-11-23,1999-08-07
10209,d007,1999-08-07,9999-01-01
10210,d009,1996-02-24,9999-01-01
10211,d005,1991-11-22,9999-01-01
10212,d005,1996-01-28,9999-01-01
10213,d009,1994-10-06,9999-01-01
10214,d007,1988-02-29,9999-01-01
10215,d007,1991-11-23,9999-01-01
10216,d008,1987-10-30,9999-01-01
10217,d004,1986-05-12,1993-08-05
10218,d004,1997-01-31,9999-01-01
10219,d005,1994-10-23,9999-01-01
10219,d009,1993-03-31,1994-10-23
10220,d002,1997-09-16,9999-01-01
10221,d004,1988-06-08,2000-10-04
10222,d004,1986-06-08,9999-01-01
10223,d005,1998-04-01,9999-01-01
10224,d004,1988-01-09,9999-01-01
10225,d009,1995-12-14,9999-01-01
10226,d007,1996-01-29,9999-01-01
10227,d005,1994-11-01,9999-01-01
10228,d001,1993-01-28,9999-01-01
10228,d007,1992-12-22,1993-01-28
10229,d006,1996-02-20,2000-06-30
10230,d008,1996-06-16,9999-01-01
10231,d009,1998-09-09,9999-01-01
10232,d007,1992-06-04,9999-01-01
10233,d003,1994-04-29,9999-01-01
10234,d007,1990-11-19,1999-08-06
10235,d004,1995-04-06,9999-01-01
10236,d007,1996-08-30,9999-01-01
10237,d007,1989-08-11,2000-02-21
10238,d005,1995-03-31,1996-05-25
10238,d008,1996-05-25,9999-01-01
10239,d001,1996-05-04,9999-01-01
10240,d006,1998-10-06,9999-01-01
10241,d002,1988-06-12,9999-01-01
10242,d004,1988-01-18,9999-01-01
10243,d007,1986-06-07,9999-01-01
10244,d005,1999-09-16,9999-01-01
10245,d008,1994-04-21,1995-02-20
10246,d004,1991-02-01,9999-01-01
10247,d004,1992-08-14,9999-01-01
10248,d007,1991-08-13,9999-01-01
10249,d005,1991-12-08,1998-04-13
10249,d008,1998-04-13,9999-01-01
10250,d006,1992-08-30,9999-01-01
10251,d008,1992-06-25,9999-01-01
10252,d004,1990-11-08,9999-01-01
10253,d007,1985-02-21,1994-03-20
10254,d007,1990-06-14,9999-01-01
10255,d004,1993-05-12,1999-11-14
10256,d007,1985-10-12,9999-01-01
10257,d004,1997-07-16,9999-01-01
10258,d005,1985-05-17,9999-01-01
10259,d001,1987-07-25,1994-08-15
10259,d009,1994-08-15,1999-01-06
10260,d004,1993-02-01,9999-01-01
10261,d005,1996-09-11,1999-02-23
10262,d007,1996-01-22,9999-01-01
10263,d002,1996-12-21,9999-01-01
10264,d005,1997-07-16,9999-01-01
10265,d006,1997-09-12,9999-01-01
10266,d004,1990-05-25,9999-01-01
10267,d004,1997-04-26,9999-01-01
10268,d004,1988-04-15,1990-08-17
10268,d005,1986-12-17,1988-04-15
10269,d004,1988-07-24,9999-01-01
10270,d007,1991-09-26,9999-01-01
10271,d005,1986-05-23,9999-01-01
10272,d002,1997-10-23,9999-01-01
10273,d007,1985-11-06,9999-01-01
10274,d005,1997-02-02,9999-01-01
10275,d005,1987-09-08,9999-01-01
10276,d005,1986-10-19,2000-02-04
10277,d007,1985-06-16,9999-01-01
10278,d005,1993-07-02,1997-02-14
10279,d004,1995-04-26,1999-07-11
10279,d009,1999-07-11,9999-01-01
10280,d003,1995-01-27,9999-01-01
10281,d006,1994-12-03,9999-01-01
10282,d004,1996-05-02,9999-01-01
10283,d005,1988-05-25,9999-01-01
10284,d004,1999-07-06,9999-01-01
10285,d008,1995-05-25,9999-01-01
10286,d009,1994-12-24,1999-01-24
10287,d005,1997-09-05,9999-01-01
10287,d008,1992-12-28,1997-09-05
10288,d004,1994-08-29,9999-01-01
10289,d005,1993-03-12,2002-01-31
10290,d005,1991-09-18,9999-01-01
10291,d007,1987-03-30,9999-01-01
10292,d007,1989-06-05,9999-01-01
10293,d004,1992-12-12,9999-01-01
10294,d005,1999-01-30,1999-05-04
10295,d002,1995-06-19,9999-01-01
10296,d007,1989-09-16,9999-01-01
10297,d004,1986-05-28,9999-01-01
10298,d004,2002-05-05,9999-01-01
10298,d008,1999-04-27,2002-05-05
10299,d007,1990-01-10,9999-01-01
10300,d004,1991-05-17,9999-01-01
10301,d002,1988-05-23,9999-01-01
10302,d007,1986-07-22,1999-11-09
10303,d004,1990-02-05,2000-11-15
10304,d007,1992-11-16,2002-05-08
10305,d005,1988-10-31,1992-06-02
10306,d007,1993-09-06,9999-01-01
10307,d004,1999-10-16,2000-01-21
10307,d006,2000-01-21,9999-01-01
10308,d007,1992-12-29,9999-01-01
10309,d005,1997-05-02,9999-01-01
10310,d004,1990-10-24,2001-07-26
10311,d005,1998-11-04,9999-01-01
10312,d004,1986-08-28,9999-01-01
10313,d008,1994-10-10,9999-01-01
10314,d007,1986-01-16,9999-01-01
10315,d005,1987-08-28,9999-01-01
10316,d006,1990-12-18,1991-01-02
10317,d004,2000-07-05,9999-01-01
10317,d008,1999-01-24,2000-07-05
10318,d005,1987-03-23,9999-01-01
10319,d007,1994-06-18,9999-01-01
10320,d007,1988-11-03,2001-12-23
10321,d007,1995-07-24,1999-08-14
10322,d005,1990-01-29,9999-01-01
10323,d004,1991-06-06,9999-01-01
10324,d005,1999-07-19,9999-01-01
10325,d003,1990-09-20,9999-01-01
10326,d008,1998-09-02,9999-01-01
10327,d005,1987-09-18,1988-05-10
10327,d008,1988-05-10,1993-05-22
10328,d005,1998-07-17,9999-01-01
10329,d004,1986-01-20,9999-01-01
10330,d007,1993-10-08,9999-01-01
10331,d007,1986-10-29,9999-01-01
10332,d004,1988-10-20,1997-03-07
10333,d005,1993-01-16,9999-01-01
10334,d009,1998-02-15,9999-01-01
10335,d007,1992-04-06,1999-11-07
10335,d009,1999-11-07,9999-01-01
10336,d008,1996-09-27,9999-01-01
10337,d004,1998-04-25,9999-01-01
10338,d009,1999-12-29,9999-01-01
10339,d004,1989-11-30,9999-01-01
10340,d001,1988-03-30,9999-01-01
10341,d004,1987-04-29,1998-11-11
10342,d005,1987-07-25,9999-01-01
10343,d006,1997-10-03,9999-01-01
10344,d004,1999-04-19,2001-11-11
10344,d006,2001-11-11,9999-01-01
10345,d005,1993-11-08,9999-01-01
10346,d007,1992-01-17,1996-04-20
10347,d008,1998-02-20,9999-01-01
10348,d004,1995-10-22,9999-01-01
10349,d009,1991-09-28,9999-01-01
10350,d004,1991-05-11,1998-01-16
10351,d002,1995-05-01,9999-01-01
10352,d005,1998-12-16,9999-01-01
10353,d001,1989-08-24,9999-01-01
10354,d002,1999-03-03,2000-03-03
10354,d003,2000-03-03,2002-01-01
10355,d007,1996-01-26,9999-01-01
10356,d008,1995-06-26,9999-01-01
10357,d006,1994-04-04,9999-01-01
10358,d005,1991-02-19,9999-01-01
10359,d005,1998-07-20,9999-01-01
10360,d003,1996-09-04,9999-01-01
10361,d007,1986-10-23,9999-01-01
10362,d003,1990-11-02,1997-07-16
10363,d004,1985-09-11,1987-05-18
10363,d006,1987-05-18,1993-02-12
10364,d004,1985-11-14,9999-01-01
10365,d008,1987-10-22,1992-04-04
10366,d005,1997-08-15,9999-01-01
10367,d001,1991-06-24,9999-01-01
10368,d004,1996-05-16,9999-01-01
10369,d007,1994-09-05,9999-01-01
10370,d007,1992-04-18,9999-01-01
10371,d004,1989-11-28,9999-01-01
10372,d004,1985-07-30,9999-01-01
10373,d005,1997-04-26,9999-01-01
10374,d007,1993-12-08,1995-04-25
10374,d009,1995-04-25,1996-03-29
10375,d007,1994-05-29,9999-01-01
10376,d004,1990-12-08,9999-01-01
10377,d004,1996-08-24,9999-01-01
10378,d007,1992-08-31,9999-01-01
10379,d005,1996-07-15,9999-01-01
10380,d007,1985-03-19,9999-01-01
10381,d004,1991-12-04,9999-01-01
10382,d004,1998-07-01,1999-05-07
10382,d009,1999-05-07,2000-10-27
10383,d004,1991-06-19,9999-01-01
10384,d001,1986-01-16,9999-01-01
10385,d004,1992-12-20,1998-01-23
10386,d005,1985-08-02,9999-01-01
10387,d009,1994-01-07,9999-01-01
10388,d007,1999-05-28,9999-01-01
10389,d005,1999-05-13,9999-01-01
10390,d006,1989-05-17,9999-01-01
10391,d005,1993-01-28,9999-01-01
10392,d004,1992-03-01,1997-08-09
10392,d006,1997-08-09,9999-01-01
10393,d004,1989-06-23,9999-01-01
10394,d005,1991-03-14,1991-08-25
10395,d005,1998-08-10,2001-08-13
10396,d005,1986-01-11,9999-01-01
10397,d004,1993-05-21,9999-01-01
10398,d007,1990-10-12,9999-01-01
10399,d007,2000-01-26,9999-01-01
10400,d007,1993-10-17,9999-01-01
10401,d006,1999-10-25,2001-04-25
10402,d006,1987-01-02,9999-01-01
10403,d002,1991-09-13,1995-03-07
10403,d007,1995-03-07,2001-06-15
10404,d005,1988-08-28,9999-01-01
10405,d006,1998-09-26,2000-12-05
10406,d006,1996-01-26,9999-01-01
10407,d007,1999-10-30,9999-01-01
10408,d007,1998-10-07,9999-01-01
10409,d005,1997-09-26,9999-01-01
10410,d007,1993-10-16,1996-07-21
10411,d007,1989-09-02,9999-01-01
10412,d004,1991-11-21,2000-05-19
10412,d009,2000-05-19,9999-01-01
10413,d003,1991-12-27,9999-01-01
10414,d005,1990-05-30,1994-12-02
10415,d005,1993-10-25,9999-01-01
10416,d002,1989-03-24,9999-01-01
10417,d007,1999-06-27,9999-01-01
10418,d001,1996-10-04,9999-01-01
10419,d008,1992-04-25,2002-07-06
10420,d008,1988-01-17,2000-07-09
10421,d009,1990-04-07,9999-01-01
10422,d004,1995-01-03,1997-09-30
10422,d006,1997-09-30,9999-01-01
10423,d008,1999-05-27,9999-01-01
10424,d005,1989-08-07,9999-01-01
10425,d004,1995-05-07,2002-05-06
10426,d005,1985-07-06,9999-01-01
10427,d007,1994-10-03,9999-01-01
10428,d003,1992-06-04,9999-01-01
10429,d005,1988-09-23,9999-01-01
10430,d004,1998-07-05,1999-07-17
10430,d009,1999-07-17,9999-01-01
10431,d007,1987-10-08,9999-01-01
10432,d009,1990-08-13,9999-01-01
10433,d006,1992-11-26,9999-01-01
10434,d004,1995-06-27,2002-06-22
10435,d005,1996-06-08,9999-01-01
10436,d003,1988-01-30,9999-01-01
10437,d006,1996-04-12,9999-01-01
10438,d004,1990-01-19,9999-01-01
10439,d005,1993-05-01,9999-01-01
10440,d005,1997-04-04,2000-01-30
10440,d008,2000-01-30,9999-01-01
10441,d004,1988-07-12,9999-01-01
10442,d007,1992-02-12,2001-03-13
10443,d005,1989-08-01,2002-07-06
10444,d007,1994-10-23,9999-01-01
10445,d005,1987-11-04,9999-01-01
10446,d005,1996-12-25,9999-01-01
10447,d006,1988-12-29,2000-11-15
10448,d007,1992-03-12,9999-01-01
10449,d001,1996-03-12,9999-01-01
10449,d007,1987-03-28,1996-03-12
10450,d005,1997-08-24,9999-01-01
10451,d004,1988-03-12,9999-01-01
10452,d005,1995-11-12,2001-10-11
10453,d009,1985-04-02,9999-01-01
10454,d007,1989-04-16,9999-01-01
10455,d007,1995-02-19,9999-01-01
10456,d002,2000-01-06,9999-01-01
10457,d006,1999-10-23,9999-01-01
10458,d007,1994-07-05,9999-01-01
10459,d002,1998-06-14,9999-01-01
10459,d003,1997-06-28,1998-06-14
10460,d005,1999-06-30,2001-04-15
10461,d007,1987-08-03,9999-01-01
10462,d004,1996-03-25,9999-01-01
10463,d007,1994-02-17,9999-01-01
10464,d003,1991-05-21,9999-01-01
10465,d009,1994-12-11,9999-01-01
10466,d009,1997-08-22,2000-08-15
10467,d003,1992-05-22,1999-11-01
10468,d007,1991-05-28,9999-01-01
10469,d005,1985-06-05,1992-12-26
10469,d008,1992-12-26,9999-01-01
10470,d004,1989-09-19,9999-01-01
10471,d006,1990-11-18,9999-01-01
10472,d007,1999-12-01,2002-01-02
10473,d004,1997-09-23,9999-01-01
10474,d004,1987-02-21,9999-01-01
10475,d004,1992-05-13,1994-12-30
10476,d008,1987-09-20,9999-01-01
10477,d005,1997-05-26,9999-01-01
10478,d005,1993-02-10,9999-01-01
10478,d009,1992-06-09,1993-02-10
10479,d004,1993-07-24,9999-01-01
10480,d002,1988-05-18,1989-06-03
10481,d004,1989-10-03,9999-01-01
10482,d005,1996-02-26,9999-01-01
10483,d006,1993-11-10,9999-01-01
10484,d003,1996-12-20,9999-01-01
10485,d005,1996-01-21,9999-01-01
10486,d006,1987-10-08,9999-01-01
10487,d004,1992-08-14,9999-01-01
10488,d005,1994-07-09,1996-11-18
10488,d008,1996-11-18,9999-01-01
10489,d005,1989-09-10,1989-10-06
10490,d007,1992-11-22,9999-01-01
10491,d001,1990-01-17,9999-01-01
10492,d005,1988-04-29,9999-01-01
10493,d007,1998-10-29,9999-01-01
10494,d004,1991-12-18,9999-01-01
10495,d004,1989-09-24,9999-01-01
10496,d002,1995-08-29,1999-01-26
10497,d004,1992-01-22,9999-01-01
10498,d004,1994-03-09,9999-01-01
10499,d001,1996-07-31,1998-03-16
10499,d007,1998-03-16,9999-01-01
10500,d005,1996-12-16,9999-01-01
10501,d005,1988-09-08,9999-01-01
10502,d006,1993-03-04,9999-01-01
10503,d004,1997-03-13,9999-01-01
10504,d007,1999-10-19,9999-01-01
10505,d007,1985-07-23,1998-03-26
10506,d005,1996-12-01,9999-01-01
10507,d003,1990-09-30,9999-01-01
10508,d004,1991-05-01,9999-01-01
10509,d007,1992-10-06,9999-01-01
10510,d007,1990-04-20,1992-09-21
10510,d009,1992-09-21,9999-01-01
10511,d004,1992-01-27,9999-01-01
10512,d003,1989-11-28,9999-01-01
10513,d002,1991-04-02,9999-01-01
10514,d008,1992-04-29,1995-04-02
10515,d007,1990-01-06,1998-07-21
10516,d005,1985-10-19,9999-01-01
10517,d007,1990-12-25,9999-01-01
10518,d005,1993-09-03,9999-01-01
10519,d005,1994-02-09,2001-10-13
10519,d008,1992-12-05,1994-02-09
10520,d004,1996-09-05,9999-01-01
10521,d007,1989-05-11,9999-01-01
10522,d003,1986-12-12,9999-01-01
10523,d004,1989-12-23,9999-01-01
10524,d004,1985-10-09,9999-01-01
10525,d007,1990-07-08,1995-12-20
10526,d004,1988-02-27,9999-01-01
10527,d005,1996-01-25,9999-01-01
10528,d005,1993-10-28,9999-01-01
10529,d004,1999-06-12,9999-01-01
10529,d005,1997-07-04,1999-06-12
10530,d005,1987-09-23,9999-01-01
10531,d003,1995-03-16,9999-01-01
10532,d007,1986-05-18,9999-01-01
10533,d007,1990-08-17,9999-01-01
10534,d008,1998-01-26,2001-03-03
10535,d009,1991-08-22,9999-01-01
10536,d007,1988-10-07,9999-01-01
10537,d007,1996-09-25,9999-01-01
10538,d004,1991-09-22,1998-12-13
10538,d005,1987-07-23,1991-09-22
10539,d007,1990-06-05,9999-01-01
10540,d004,1994-05-03,9999-01-01
10541,d007,1986-02-28,1986-10-01
10542,d005,1992-02-07,9999-01-01
10543,d002,1998-11-24,9999-01-01
10544,d008,1995-04-29,9999-01-01
10545,d004,1990-06-30,9999-01-01
10546,d008,1991-04-14,9999-01-01
10547,d005,1988-02-14,1989-06-19
10548,d001,1991-10-04,9999-01-01
10548,d007,1986-07-04,1991-10-04
10549,d005,1996-10-11,9999-01-01
10550,d006,1985-02-03,9999-01-01
10551,d006,1988-08-06,9999-01-01
10552,d004,1998-08-31,9999-01-01
10553,d005,1990-07-22,9999-01-01
10554,d005,1990-11-28,9999-01-01
10555,d007,1992-05-22,1993-01-19
10556,d002,1992-04-15,9999-01-01
10557,d005,1992-09-18,1994-08-25
10557,d008,1994-08-25,9999-01-01
10558,d004,1992-04-22,9999-01-01
10559,d007,1999-04-05,9999-01-01
10560,d005,1996-09-03,9999-01-01
10561,d007,1997-06-30,9999-01-01
10562,d005,1997-07-24,9999-01-01
10563,d005,1992-09-29,2002-01-01
10564,d004,1995-11-23,9999-01-01
10565,d004,1996-08-05,9999-01-01
10566,d005,1990-08-23,1997-10-26
10567,d001,1997-02-17,9999-01-01
10567,d007,1992-10-18,1997-02-17
10568,d007,1995-07-08,9999-01-01
10569,d008,1987-03-13,9999-01-01
10570,d007,1986-06-16,2000-03-25
10571,d005,1985-02-24,9999-01-01
10572,d004,1988-02-16,9999-01-01
10573,d007,1999-08-20,9999-01-01
10574,d003,1999-11-15,9999-01-01
10575,d004,1988-10-04,2000-11-22
10576,d002,1991-01-03,9999-01-01
10577,d004,2001-08-01,9999-01-01
10577,d008,1993-07-02,2001-08-01
10578,d005,1989-11-24,9999-01-01
10579,d005,1991-06-02,9999-01-01
10580,d009,1991-03-02,9999-01-01
10581,d004,1994-04-13,9999-01-01
10582,d005,1995-11-06,9999-01-01
10583,d004,1985-02-14,1998-05-29
10584,d005,1986-02-17,9999-01-01
10585,d005,1991-01-09,1994-08-24
10585,d008,1994-08-24,9999-01-01
10586,d004,1992-02-04,9999-01-01
10587,d005,1991-11-20,9999-01-01
10588,d004,1988-07-25,9999-01-01
10589,d002,1994-01-26,9999-01-01
10590,d008,1986-04-09,9999-01-01
10591,d001,1987-06-18,1988-09-20
10592,d007,1993-09-27,9999-01-01
10593,d004,2000-03-29,9999-01-01
10593,d005,1990-09-12,2000-03-29
10594,d005,1988-04-02,9999-01-01
10595,d004,1989-11-24,9999-01-01
10596,d007,1996-05-23,9999-01-01
10597,d007,1990-04-01,9999-01-01
10598,d004,1998-06-22,2000-09-27
10599,d005,1991-11-17,9999-01-01
10600,d007,1992-04-27,9999-01-01
10601,d009,1999-07-24,2002-05-09
10602,d001,1989-04-23,1993-11-06
10603,d007,1995-07-20,9999-01-01
10604,d004,2002-07-29,9999-01-01
10604,d005,1990-04-07,2002-07-29
10605,d006,1993-07-01,9999-01-01
10606,d005,1987-05-02,9999-01-01
10607,d005,1996-01-13,9999-01-01
10608,d004,1986-05-25,1991-06-02
10609,d005,1994-12-03,9999-01-01
10610,d005,1997-03-30,9999-01-01
10611,d005,1989-09-16,9999-01-01
10612,d004,1991-09-02,9999-01-01
10613,d003,1997-10-13,9999-01-01
10614,d004,1990-03-03,1997-02-27
10614,d009,1997-02-27,9999-01-01
10615,d002,1996-03-10,9999-01-01
10616,d007,1996-11-07,9999-01-01
10617,d009,1991-10-30,2001-10-03
10618,d004,1994-10-07,9999-01-01
10619,d007,1993-04-09,9999-01-01
10620,d005,1990-11-10,9999-01-01
10621,d005,1992-02-10,9999-01-01
10622,d004,1989-05-15,9999-01-01
10623,d005,1992-01-15,1996-02-11
10623,d008,1996-02-11,9999-01-01
10624,d004,1990-05-07,9999-01-01
10625,d005,1986-07-15,1995-01-13
10626,d003,1996-12-03,9999-01-01
10627,d003,1995-03-13,9999-01-01
10628,d005,1987-03-14,9999-01-01
10629,d007,1999-10-20,2001-12-07
10630,d004,1997-01-13,9999-01-01
10631,d005,1994-10-18,9999-01-01
10632,d005,1985-07-25,1987-11-20
10633,d007,1997-05-16,9999-01-01
